"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"48","ACC1","ArgSer_vs_Ctrl",-0.159026579679297,0.0417102983248588,-3.81264546325527,15,0.00169874419517768,0.0240864366052609,NA,0.0725677830940988,0.0725677830940989
"49","ACE2","ProAla_vs_Ctrl",-0.143205326224513,0.122863079830165,-1.16556842317861,15,0.261989268864026,0.592779005504399,NA,0.204545454545455,0.204545454545455
"50","ACE2","ProSer_vs_Ctrl",-0.273824592994629,0.122863079830165,-2.22869712669696,15,0.0415518365747345,0.10149229647835,NA,0.234848484848485,0.234848484848485
"51","ACE2","ArgSer_vs_Ctrl",-0.264193866516682,0.122863079830165,-2.15031128050737,15,0.048246375862824,0.214070620722173,NA,0.287878787878788,0.287878787878788
"52","ACF2","ProAla_vs_Ctrl",-0.119234974456475,0.0455530739235577,-2.61749568550659,15,0.0194105895479026,0.159477944787298,NA,0.141304347826087,0.141304347826087
"53","ACF2","ProSer_vs_Ctrl",-0.1508085659873,0.0455530739235577,-3.31061228140983,15,0.00475431477928168,0.0189489961515458,NA,0.16304347826087,0.16304347826087
"54","ACF2","ArgSer_vs_Ctrl",-0.0544817518981707,0.0455530739235577,-1.19600604757422,15,0.250258609186821,0.528639677730735,NA,0.123188405797101,0.123188405797101
"55","ACF4","ProAla_vs_Ctrl",0.0730594397527042,0.0749320064787691,0.975009788019016,15,0.345018141895878,0.667536120825433,NA,0.175,0.175
"56","ACF4","ProSer_vs_Ctrl",-0.0949743918825731,0.0749320064787691,-1.26747429230369,15,0.224309599466822,0.359818875983011,NA,0.15,0.15
"57","ACF4","ArgSer_vs_Ctrl",0.0662430376229276,0.0749320064787691,0.884041956646345,15,0.390623559076654,0.661801007868444,NA,0.166666666666667,0.166666666666667
"58","ACH1","ProAla_vs_Ctrl",0.0723104333909059,0.0968055329824248,0.746965913653241,15,0.466632243035772,0.764110297971077,NA,0.195945945945946,0.195945945945946
"59","ACH1","ProSer_vs_Ctrl",0.475747441826537,0.0968055329824248,4.91446539437895,15,0.000187000112795488,0.00139408140960807,NA,0.20045045045045,0.20045045045045
"60","ACH1","ArgSer_vs_Ctrl",0.0735479943702965,0.0968055329824248,0.75974990379578,15,0.45917907574262,0.715440401511852,NA,0.150900900900901,0.150900900900901
"61","ACK1","ProAla_vs_Ctrl",-0.0836170010038918,0.051174552575578,-1.63395666000989,15,0.123076031345669,0.4168049024952,NA,0.0729166666666666,0.0729166666666667
"62","ACK1","ProSer_vs_Ctrl",-0.0362358262876654,0.051174552575578,-0.708082913556497,15,0.489751448207929,0.626364236341812,NA,0.109375,0.109375
"63","ACK1","ArgSer_vs_Ctrl",0.0049409195693784,0.051174552575578,0.0965503227816467,15,0.924361699009641,0.969758269689873,NA,0.109375,0.109375
"64","ACL4","ProAla_vs_Ctrl",0.13390599267774,0.0603591375058599,2.21848751010962,15,0.0423719814454275,0.2460914587397,NA,0.246212121212121,0.246212121212121
"65","ACL4","ProSer_vs_Ctrl",0.290780847840532,0.0603591375058599,4.8175116453959,15,0.000225995079207397,0.00165759053184323,NA,0.212121212121212,0.212121212121212
"66","ACL4","ArgSer_vs_Ctrl",0.161702989115933,0.0603591375058599,2.67901424370476,15,0.0171656482589551,0.114341683245137,NA,0.215909090909091,0.215909090909091
"67","ACM1","ProAla_vs_Ctrl",-0.316182671776644,0.385998677322342,-0.819128899534038,15,0.425536559835641,0.733642043866492,NA,0.166666666666667,0.166666666666667
"68","ACM1","ProSer_vs_Ctrl",-0.273749593729626,0.385998677322342,-0.709198268835054,15,0.489078920551196,0.625880115879506,NA,0.194444444444444,0.194444444444444
"69","ACM1","ArgSer_vs_Ctrl",0.139592427974651,0.385998677322342,0.36163965364596,15,0.722664924711166,0.878625060407266,NA,0.222222222222222,0.222222222222222
"70","ACO1","ProAla_vs_Ctrl",-0.301271630992285,0.0295081000392883,-10.209794279915,15,3.79985869436439e-08,8.96006680131123e-06,NA,0.068089430894309,0.0680894308943089
"71","ACO1","ProSer_vs_Ctrl",-0.507630896149185,0.0295081000392883,-17.203103401212,15,2.76472178484255e-11,3.95355215232485e-09,NA,0.0802845528455285,0.0802845528455285
"72","ACO1","ArgSer_vs_Ctrl",-0.0952035460923071,0.0295081000392883,-3.22635296632277,15,0.00565052742055827,0.0556913151408259,NA,0.0884146341463414,0.0884146341463415
